time[UT]  C01 C02 C03 C04 C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 
18:57:08   30  50  30  51  38  51  36  44  68  41  42  44  53  55  53  51  50  53  53  59  47  49  44  64  49  42  51  37  44 
18:57:16   42  50  40  29  20  40  44  37  67  39  39  42  43  39  53  42  43  52  44  42  52  42  57  51  59  42  45  47  37 
18:57:24   58  26  54  36  42  42  63  36  38  58  68  42  45  44  53  51  51  48  53  63  42  53  40  54  43  72  40  62  48 
18:57:32   52  71  57  57  24  51  53  53  63  48  44  53  42  50  42  45  49  51  67  40  50  53  45  48  56  68  41  40  33 
18:57:40   45  45  51  38  58  44  45  38  50  57  50  37  45  42  53  57  43  44  63  44  42  49  42  51  38  63  35  42  30 
18:57:48   45  51  30  36  36  50  60  42  46  74  42  42  43  30  58  57  64  57  53  72  63  51  45  51  53  46  40  47  52 
18:57:56   42  64  42  59  58  50  44  38  40  62  39  40  36  58  47  49  73  68  53  53  47  68  51  41  45  50  50  37  54 
18:58:04   53  47  62  50  49  40  41  47  50  50  37  36  31  51  50  50  50  52  58  43  51  47  51  46  50  43  51  42  40 
18:58:12   52  39  62  35  42  46  36  59  37  34  38  42  51  45  43  42  62  51  43  57  45  42  45  35  42  43  68  50  53 
18:58:20   56  55  42  40  41  38  54  51  47  42  30  44  51  76  33  45  37  63  44  45  63  68  42  47  53  44  43  40  36 
18:58:28   42  40  49  40  63  58  58  51  44  53  63  50  42  44  61  58  58  57  72  68  72  63  72  53  52  72  62  49  61 
18:58:36   63  51  54  33  54  63  44  79  63  63  59  68  63  82  58  68  52  65  63  58  44  51  49  52  33  54  51  47  37 
18:58:44   68  54  42  50  68  68  63  72  49  82  51  76  72  76  79  62  68  58  70  63  70  54  58  60  51  51  59  58  43 
18:58:52   40  51  42  32  53  52  53  36  43  38  68  58  43  58  52  42  70  68  63  68  68  72  42  68  56  63  52  51  84 
18:59:00   72  60  63  79  51  79  72  72  79  63  51  72  79  58  58  76  53  42  46  79  54  55  63  65  42  39  74  51  58 
18:59:08   52  40  47  40  43  33  53  42  51  25  52  68  50  33  52  49  58  76  54  68  72  53  65  72  76  52  79  72  52 
18:59:16   63  47  48  51  54  70  76  52  54  72  63  62  53  58  84  51  76  42  76  57  63  37  39  47  62  40  38  27  68 
18:59:24   24  42  47  53  40  58  49  53  51  51  54  54  72  58  42  76  54  72  82  63  61  41  63  36  44  41  42  41  63 
18:59:32   58  47  36  50  45  42  42  51  44  68  58  63  41  58  72  72  52  68  67  68  63  80  63  50  63  72  79  49  42 
18:59:40   63  68  48  58  50  58  72  50  42  58  54  63  43  58  51  42  63  67  42  45  48  58  53  43  50  44  40  50  32 
18:59:48   46  63  54  40  58  47  38  42  50  59  61  42  58  40  53  42  58  63  58  40  38  63  68  65  65  61  76  84  47 
18:59:56   70  59  60  60  58  56  91  65  63  61  47  68  64  52  57  30  51  63  27  51  47  40  45  58  36  33  49  33  37 
